,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
146419,Indigo,6E-6785,Kolkata,Morning,one,Afternoon,Hyderabad,Economy,7.25,35,17829
189101,Vistara,UK-832,Chennai,Early_Morning,one,Evening,Mumbai,Economy,11.42,14,15920
177449,Air_India,AI-840,Hyderabad,Night,one,Night,Chennai,Economy,26.75,16,7246
87642,AirAsia,I5-1321,Bangalore,Evening,one,Late_Night,Delhi,Economy,7.67,20,2723
221471,Vistara,UK-927,Delhi,Morning,one,Night,Hyderabad,Business,11.42,43,46097
225059,Vistara,UK-851,Mumbai,Early_Morning,one,Night,Delhi,Business,13.5,2,57856
86394,AirAsia,I5-819,Bangalore,Morning,one,Evening,Delhi,Economy,10.75,14,7484
13870,Vistara,UK-811,Delhi,Early_Morning,zero,Morning,Bangalore,Economy,2.75,21,4501
278799,Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,17.42,26,52715
77923,Vistara,UK-910,Mumbai,Evening,one,Morning,Chennai,Economy,16.33,6,11129
248286,Vistara,UK-657,Bangalore,Morning,one,Evening,Delhi,Business,8.42,45,45097
138129,Vistara,UK-706,Kolkata,Morning,two_or_more,Night,Bangalore,Economy,12.42,20,8111
21768,Vistara,UK-933,Delhi,Afternoon,one,Evening,Kolkata,Economy,28.42,11,13830
172964,Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Kolkata,Economy,15.83,22,5209
219677,Vistara,UK-859,Delhi,Morning,zero,Afternoon,Hyderabad,Business,2.17,12,24056
151038,Vistara,UK-706,Kolkata,Morning,one,Morning,Chennai,Economy,23.67,33,5660
232956,Vistara,UK-940,Mumbai,Evening,one,Morning,Bangalore,Business,15.08,35,69168
28794,Air_India,AI-441,Delhi,Evening,one,Night,Hyderabad,Economy,27.75,1,9840
252394,Vistara,UK-814,Bangalore,Night,one,Afternoon,Mumbai,Business,16.83,44,61404
290558,Vistara,UK-834,Chennai,Evening,one,Night,Mumbai,Business,6.67,5,90512
22327,Vistara,UK-951,Delhi,Afternoon,one,Evening,Kolkata,Economy,5.58,14,12990
51750,Vistara,UK-845,Mumbai,Early_Morning,one,Night,Delhi,Economy,14.5,44,6122
232206,Air_India,AI-660,Mumbai,Evening,one,Morning,Bangalore,Business,14.92,27,54608
64806,Vistara,UK-954,Mumbai,Early_Morning,one,Night,Kolkata,Economy,16.75,20,5949
231659,Air_India,AI-687,Mumbai,Afternoon,one,Late_Night,Bangalore,Business,8.17,21,54608
588,GO_FIRST,G8-392,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,5,5954
285995,Air_India,AI-543,Hyderabad,Morning,one,Morning,Chennai,Business,21.58,16,51595
95633,Air_India,AI-573,Bangalore,Afternoon,one,Night,Mumbai,Economy,31.25,11,12634
147503,Air_India,AI-676,Kolkata,Morning,one,Night,Hyderabad,Economy,13.92,44,8047
96440,Air_India,AI-640,Bangalore,Early_Morning,zero,Morning,Mumbai,Economy,1.83,16,2208
161071,GO_FIRST,G8-506,Hyderabad,Afternoon,one,Night,Mumbai,Economy,5.92,20,4452
48413,GO_FIRST,G8-321,Mumbai,Afternoon,zero,Afternoon,Delhi,Economy,2.25,29,2339
33351,Air_India,AI-764,Delhi,Evening,one,Night,Hyderabad,Economy,28.33,36,3994
1494,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,10,6270
69537,Vistara,UK-958,Mumbai,Afternoon,one,Morning,Kolkata,Economy,19.92,45,5949
218250,Air_India,AI-540,Delhi,Night,one,Morning,Kolkata,Business,14.17,37,47545
282529,Air_India,AI-840,Hyderabad,Night,one,Morning,Bangalore,Business,12.08,41,56590
50587,Air_India,AI-442,Mumbai,Afternoon,one,Evening,Delhi,Economy,3.75,39,2464
286547,Vistara,UK-874,Hyderabad,Morning,one,Night,Chennai,Business,14.58,28,41314
78626,Vistara,UK-655,Mumbai,Morning,two_or_more,Night,Chennai,Economy,11.25,11,15288
23989,Vistara,UK-953,Delhi,Night,one,Morning,Kolkata,Economy,13.0,23,6578
216864,Air_India,AI-401,Delhi,Early_Morning,zero,Morning,Kolkata,Business,2.17,17,27976
243574,Vistara,UK-958,Mumbai,Afternoon,one,Night,Chennai,Business,7.83,31,49613
274172,Air_India,AI-729,Kolkata,Morning,two_or_more,Night,Chennai,Business,13.75,36,70220
270857,Air_India,AI-526,Kolkata,Evening,zero,Night,Hyderabad,Business,2.25,15,20356
216696,Vistara,UK-945,Delhi,Morning,one,Evening,Kolkata,Business,8.25,14,59929
220884,Vistara,UK-951,Delhi,Afternoon,one,Night,Hyderabad,Business,6.58,33,39377
179406,Indigo,6E-6591,Hyderabad,Afternoon,one,Night,Chennai,Economy,7.25,37,4819
194788,GO_FIRST,G8-302,Chennai,Early_Morning,one,Afternoon,Bangalore,Economy,9.17,15,10469
176799,Indigo,6E-626,Hyderabad,Afternoon,one,Evening,Chennai,Economy,4.33,8,4453
188195,Indigo,6E-5394,Chennai,Early_Morning,zero,Morning,Mumbai,Economy,2.0,8,7772
