,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),Data & Hora
0,0.0,0.0,0.0,None,2021-09-29 00:00:00
1,0.0,0.0,0.0,None,2021-09-29 01:00:00
2,0.0,0.0,0.0,None,2021-09-29 02:00:00
3,0.0,0.0,0.0,None,2021-09-29 03:00:00
4,0.0,0.0,0.0,None,2021-09-29 04:00:00
5,0.0,0.0,0.0,None,2021-09-29 05:00:00
6,0.0,0.0,0.0,None,2021-09-29 06:00:00
7,0.0,0.0,0.0,None,2021-09-29 07:00:00
8,0.0,0.0,0.0,None,2021-09-29 08:00:00
9,0.0,0.0,0.0,None,2021-09-29 09:00:00
10,0.0,0.0,0.0,None,2021-09-29 10:00:00
11,0.0,0.0,0.0,None,2021-09-29 11:00:00
12,0.0,0.0,0.0,None,2021-09-29 12:00:00
13,0.0,0.0,0.0,None,2021-09-29 13:00:00
14,0.0,0.0,0.0,None,2021-09-29 14:00:00
15,0.215,0.0,0.0,None,2021-09-29 15:00:00
16,0.433,0.0,0.149,Low,2021-09-29 16:00:00
17,0.292,0.0,0.315,Low,2021-09-29 17:00:00
18,0.522,0.0,0.06,None,2021-09-29 18:00:00
19,0.581,0.0,0.0,None,2021-09-29 19:00:00
20,0.506,0.0,0.0,None,2021-09-29 20:00:00
21,0.534,0.0,0.0,None,2021-09-29 21:00:00
22,0.726,0.0,0.0,None,2021-09-29 22:00:00
23,0.662,0.0,0.0,None,2021-09-29 23:00:00
24,0.704,0.0,0.0,None,2021-09-30 00:00:00
25,0.466,0.0,0.0,None,2021-09-30 01:00:00
26,0.356,0.0,0.0,None,2021-09-30 02:00:00
27,0.355,0.0,0.0,None,2021-09-30 03:00:00
28,0.346,0.0,0.0,None,2021-09-30 04:00:00
29,0.351,0.0,0.0,None,2021-09-30 05:00:00
30,0.454,0.0,0.0,None,2021-09-30 06:00:00
31,0.372,0.0,0.002,None,2021-09-30 07:00:00
32,0.366,0.0,0.228,Medium,2021-09-30 08:00:00
33,0.0,0.0,0.268,High,2021-09-30 09:00:00
34,0.0,0.0,0.268,High,2021-09-30 10:00:00
35,0.0,0.0,0.278,Very High,2021-09-30 11:00:00
36,0.026,0.0,0.352,Very High,2021-09-30 12:00:00
37,0.003,0.0,0.378,High,2021-09-30 13:00:00
38,0.0,0.0,0.45,High,2021-09-30 14:00:00
39,0.0,0.0,0.42,High,2021-09-30 15:00:00
40,0.054,0.0,0.35,High,2021-09-30 16:00:00
41,0.105,0.0,0.216,Low,2021-09-30 17:00:00
42,0.419,0.0,0.032,None,2021-09-30 18:00:00
43,0.341,0.0,0.0,None,2021-09-30 19:00:00
44,0.585,0.0,0.0,None,2021-09-30 20:00:00
45,0.523,0.0,0.0,None,2021-09-30 21:00:00
46,0.562,0.0,0.0,None,2021-09-30 22:00:00
47,0.599,0.0,0.0,None,2021-09-30 23:00:00
48,0.611,0.0,0.0,None,2021-10-01 00:00:00
49,0.557,0.0,0.0,None,2021-10-01 01:00:00
50,0.446,0.0,0.0,None,2021-10-01 02:00:00
51,0.336,0.0,0.0,None,2021-10-01 03:00:00
52,0.306,0.0,0.0,None,2021-10-01 04:00:00
53,0.268,0.0,0.0,None,2021-10-01 05:00:00
54,0.279,0.0,0.0,None,2021-10-01 06:00:00
55,0.281,0.0,0.0,None,2021-10-01 07:00:00
56,0.585,0.0,0.047,None,2021-10-01 08:00:00
57,0.064,0.0,0.187,Low,2021-10-01 09:00:00
58,0.005,0.0,0.248,High,2021-10-01 10:00:00
59,0.0,0.0,0.258,Very High,2021-10-01 11:00:00
60,0.0,0.0,0.262,Very High,2021-10-01 12:00:00
61,0.025,0.0,0.329,Very High,2021-10-01 13:00:00
62,0.014,0.0,0.34,High,2021-10-01 14:00:00
63,0.02,0.0,0.373,High,2021-10-01 15:00:00
64,0.052,0.0,0.376,Medium,2021-10-01 16:00:00
65,0.189,0.0,0.267,Low,2021-10-01 17:00:00
66,0.714,0.0,0.034,None,2021-10-01 18:00:00
67,0.422,0.0,0.0,None,2021-10-01 19:00:00
68,0.374,0.0,0.0,None,2021-10-01 20:00:00
69,0.255,0.0,0.0,None,2021-10-01 21:00:00
70,0.324,0.0,0.0,None,2021-10-01 22:00:00
71,0.331,0.0,0.0,None,2021-10-01 23:00:00
72,0.328,0.0,0.0,None,2021-10-02 00:00:00
73,0.526,0.0,0.0,None,2021-10-02 01:00:00
74,0.328,0.0,0.0,None,2021-10-02 02:00:00
75,0.262,0.0,0.0,None,2021-10-02 03:00:00
76,0.256,0.0,0.0,None,2021-10-02 04:00:00
77,0.256,0.0,0.0,None,2021-10-02 05:00:00
78,0.287,0.0,0.0,None,2021-10-02 06:00:00
79,0.377,0.0,0.0,None,2021-10-02 07:00:00
80,0.215,0.0,0.064,None,2021-10-02 08:00:00
81,0.087,0.0,0.167,Low,2021-10-02 09:00:00
82,0.052,0.0,0.201,Low,2021-10-02 10:00:00
83,0.099,0.0,0.27,Medium,2021-10-02 11:00:00
84,0.265,0.0,0.29,Low,2021-10-02 12:00:00
85,0.741,0.0,0.214,None,2021-10-02 13:00:00
86,0.202,0.0,0.261,Low,2021-10-02 14:00:00
87,0.735,0.0,0.244,Low,2021-10-02 15:00:00
88,0.936,0.0,0.144,None,2021-10-02 16:00:00
89,0.418,0.0,0.056,None,2021-10-02 17:00:00
90,0.388,0.0,0.016,None,2021-10-02 18:00:00
91,0.52,0.0,0.0,None,2021-10-02 19:00:00
92,0.477,0.0,0.0,None,2021-10-02 20:00:00
93,0.55,0.0,0.0,None,2021-10-02 21:00:00
94,0.32,0.0,0.0,None,2021-10-02 22:00:00
95,0.352,0.0,0.0,None,2021-10-02 23:00:00
96,0.472,0.0,0.0,None,2021-10-03 00:00:00
97,0.429,0.0,0.0,None,2021-10-03 01:00:00
98,0.281,0.0,0.0,None,2021-10-03 02:00:00
99,0.337,0.0,0.0,None,2021-10-03 03:00:00
100,0.277,0.0,0.0,None,2021-10-03 04:00:00
101,0.263,0.0,0.0,None,2021-10-03 05:00:00
102,0.259,0.0,0.0,None,2021-10-03 06:00:00
103,0.259,0.0,0.002,None,2021-10-03 07:00:00
104,0.047,0.0,0.221,Medium,2021-10-03 08:00:00
105,0.015,0.0,0.299,High,2021-10-03 09:00:00
106,0.053,0.0,0.402,High,2021-10-03 10:00:00
107,0.236,0.0,0.502,High,2021-10-03 11:00:00
108,0.958,0.0,0.621,Medium,2021-10-03 12:00:00
109,0.57,0.0,0.417,Medium,2021-10-03 13:00:00
110,0.384,0.0,0.21,Medium,2021-10-03 14:00:00
111,0.205,0.0,0.278,Medium,2021-10-03 15:00:00
112,0.163,0.0,0.173,Medium,2021-10-03 16:00:00
113,0.329,0.0,0.194,None,2021-10-03 17:00:00
114,0.358,0.0,0.034,None,2021-10-03 18:00:00
115,0.472,0.0,0.0,None,2021-10-03 19:00:00
116,0.516,0.0,0.0,None,2021-10-03 20:00:00
117,0.489,0.0,0.0,None,2021-10-03 21:00:00
118,0.573,0.0,0.0,None,2021-10-03 22:00:00
119,0.591,0.0,0.0,None,2021-10-03 23:00:00
120,0.548,0.0,0.0,None,2021-10-04 00:00:00
121,0.527,0.0,0.0,None,2021-10-04 01:00:00
122,0.334,0.0,0.0,None,2021-10-04 02:00:00
