,dt_iso,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds_all,weather_description
0,2022-01-01 00:00:00,16.59,16.0,16.21,16.72,1024,65,3.15,97,overcast clouds
1,2022-01-01 01:00:00,16.59,16.0,16.21,16.72,1024,65,3.14,58,broken clouds
2,2022-01-01 02:00:00,16.59,16.03,15.67,16.72,1024,66,3.12,23,few clouds
3,2022-01-01 03:00:00,13.59,12.75,11.61,16.16,1023,67,3.08,22,few clouds
4,2022-01-01 04:00:00,14.97,14.27,14.72,15.66,1023,67,3.12,15,few clouds
5,2022-01-01 05:00:00,14.24,13.47,13.72,15.66,1023,67,3.1,20,few clouds
6,2022-01-01 06:00:00,13.37,12.51,11.66,15.57,1023,67,3.1,13,few clouds
7,2022-01-01 07:00:00,15.56,14.95,12.89,15.72,1023,68,3.24,14,few clouds
8,2022-01-01 08:00:00,15.26,14.64,12.89,15.72,1023,69,3.16,27,scattered clouds
9,2022-01-01 09:00:00,14.94,14.27,12.89,16.12,1024,68,2.97,67,broken clouds
10,2022-01-01 10:00:00,15.64,14.93,13.43,16.72,1024,64,3.22,93,overcast clouds
11,2022-01-01 11:00:00,18.71,17.99,14.54,19.04,1024,52,3.29,93,overcast clouds
12,2022-01-01 12:00:00,19.94,19.32,17.88,22.72,1024,51,3.19,89,overcast clouds
13,2022-01-01 13:00:00,20.02,19.46,19.59,22.72,1024,53,3.26,99,overcast clouds
14,2022-01-01 14:00:00,20.25,19.74,20.15,22.32,1023,54,3.56,100,overcast clouds
15,2022-01-01 15:00:00,20.72,20.21,20.7,21.22,1023,52,3.57,95,overcast clouds
16,2022-01-01 16:00:00,20.17,19.63,20.15,21.22,1023,53,3.73,95,overcast clouds
17,2022-01-01 17:00:00,19.86,19.31,19.72,20.67,1023,54,3.72,95,overcast clouds
18,2022-01-01 18:00:00,19.49,18.9,18.99,19.72,1024,54,3.26,96,overcast clouds
19,2022-01-01 19:00:00,19.32,18.77,18.43,19.72,1024,56,4.01,93,overcast clouds
20,2022-01-01 20:00:00,18.47,17.99,17.88,19.0,1025,62,4.36,98,overcast clouds
21,2022-01-01 21:00:00,17.78,17.44,17.72,17.89,1025,70,4.36,99,overcast clouds
22,2022-01-01 22:00:00,16.84,16.43,16.45,17.33,1026,71,3.92,98,light rain
23,2022-01-01 23:00:00,15.22,14.81,13.72,16.78,1026,77,3.53,100,light rain
24,2022-01-02 00:00:00,15.64,15.37,13.9,16.21,1026,81,3.19,100,light rain
25,2022-01-02 01:00:00,14.52,14.38,13.34,14.59,1026,90,2.74,100,light rain
26,2022-01-02 02:00:00,14.5,14.41,13.34,14.59,1027,92,2.47,100,light rain
27,2022-01-02 03:00:00,14.5,14.43,13.34,14.59,1027,93,2.26,100,light rain
28,2022-01-02 04:00:00,14.5,14.43,12.79,14.59,1027,93,2.05,100,light rain
29,2022-01-02 05:00:00,14.0,13.88,13.12,14.04,1027,93,1.91,100,light rain
30,2022-01-02 06:00:00,13.48,13.31,12.57,13.72,1028,93,1.89,100,light rain
31,2022-01-02 07:00:00,12.97,12.72,12.01,13.72,1028,92,1.78,100,overcast clouds
32,2022-01-02 08:00:00,13.45,13.23,12.72,13.48,1028,91,1.67,100,overcast clouds
33,2022-01-02 09:00:00,12.93,12.71,12.57,12.93,1029,93,1.75,100,overcast clouds
