,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Data & Hora,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds_all,weather_description
0,0.0,0.467,0.0,2023-01-01 00:00:00,12.93,12.76,12.72,13.43,1019.0,95.0,2.02,100.0,moderate rain
1,0.0,0.577,0.0,2023-01-01 01:00:00,13.49,13.38,13.43,13.9,1018.0,95.0,2.18,100.0,moderate rain
2,0.0,0.346,0.0,2023-01-01 02:00:00,13.55,13.44,13.48,14.82,1017.0,95.0,2.88,100.0,moderate rain
3,0.0,0.27,0.0,2023-01-01 03:00:00,13.61,13.51,12.01,14.82,1016.0,95.0,3.63,100.0,moderate rain
4,0.0,0.252,0.0,2023-01-01 04:00:00,13.59,13.49,12.01,14.82,1015.0,95.0,4.58,100.0,moderate rain
5,0.0,0.255,0.0,2023-01-01 05:00:00,13.7,13.61,13.12,15.82,1014.0,95.0,6.36,99.0,moderate rain
6,0.0,0.256,0.0,2023-01-01 06:00:00,14.22,14.18,14.04,16.12,1014.0,95.0,8.55,100.0,moderate rain
7,0.0,0.263,0.0,2023-01-01 07:00:00,15.3,15.31,14.79,16.82,1015.0,93.0,8.37,100.0,moderate rain
8,0.275,0.0,0.002,2023-01-01 08:00:00,16.8,16.55,15.66,16.82,1015.0,77.0,8.29,100.0,moderate rain
9,0.331,0.0,0.0,2023-01-01 09:00:00,16.61,16.31,14.72,16.82,1014.0,76.0,8.38,100.0,moderate rain
10,0.271,0.0,0.0,2023-01-01 10:00:00,15.03,14.86,13.72,15.15,1015.0,87.0,7.31,100.0,moderate rain
11,0.25,0.0,0.022,2023-01-01 11:00:00,13.76,13.65,13.34,14.04,1014.0,94.0,7.36,100.0,moderate rain
12,0.778,0.0,0.056,2023-01-01 12:00:00,14.1,14.02,13.34,14.82,1014.0,94.0,6.82,100.0,heavy intensity rain
13,0.496,0.0,0.007,2023-01-01 13:00:00,14.1,14.05,13.9,14.82,1014.0,95.0,4.85,100.0,heavy intensity rain
14,0.338,0.0,0.016,2023-01-01 14:00:00,13.92,13.82,12.72,14.04,1014.0,94.0,3.26,100.0,heavy intensity rain
15,0.362,0.0,0.001,2023-01-01 15:00:00,13.5,13.36,12.57,13.82,1015.0,94.0,1.97,100.0,heavy intensity rain
