,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Data & Hora,Unnamed: 0.1,temp,feels_like,pressure,humidity,wind_speed,clouds_all,weather_description
0,0.0,0.467,0.0,2023-01-01 00:00:00,0.0,12.93,12.76,1019.0,95.0,2.02,100.0,moderate rain
1,0.0,0.577,0.0,2023-01-01 01:00:00,1.0,13.49,13.38,1018.0,95.0,2.18,100.0,moderate rain
2,0.0,0.346,0.0,2023-01-01 02:00:00,2.0,13.55,13.44,1017.0,95.0,2.88,100.0,moderate rain
3,0.0,0.27,0.0,2023-01-01 03:00:00,3.0,13.61,13.51,1016.0,95.0,3.63,100.0,moderate rain
4,0.0,0.252,0.0,2023-01-01 04:00:00,4.0,13.59,13.49,1015.0,95.0,4.58,100.0,moderate rain
5,0.0,0.255,0.0,2023-01-01 05:00:00,5.0,13.7,13.61,1014.0,95.0,6.36,99.0,moderate rain
6,0.0,0.256,0.0,2023-01-01 06:00:00,6.0,14.22,14.18,1014.0,95.0,8.55,100.0,moderate rain
7,0.0,0.263,0.0,2023-01-01 07:00:00,7.0,15.3,15.31,1015.0,93.0,8.37,100.0,moderate rain
8,0.275,0.0,0.002,2023-01-01 08:00:00,8.0,16.8,16.55,1015.0,77.0,8.29,100.0,moderate rain
9,0.331,0.0,0.0,2023-01-01 09:00:00,9.0,16.61,16.31,1014.0,76.0,8.38,100.0,moderate rain
10,0.271,0.0,0.0,2023-01-01 10:00:00,10.0,15.03,14.86,1015.0,87.0,7.31,100.0,moderate rain
11,0.25,0.0,0.022,2023-01-01 11:00:00,11.0,13.76,13.65,1014.0,94.0,7.36,100.0,moderate rain
12,0.778,0.0,0.056,2023-01-01 12:00:00,12.0,14.1,14.02,1014.0,94.0,6.82,100.0,heavy intensity rain
13,0.496,0.0,0.007,2023-01-01 13:00:00,13.0,14.1,14.05,1014.0,95.0,4.85,100.0,heavy intensity rain
14,0.338,0.0,0.016,2023-01-01 14:00:00,14.0,13.92,13.82,1014.0,94.0,3.26,100.0,heavy intensity rain
15,0.362,0.0,0.001,2023-01-01 15:00:00,15.0,13.5,13.36,1015.0,94.0,1.97,100.0,heavy intensity rain
16,1.326,0.0,0.0,2023-01-01 16:00:00,16.0,13.3,13.17,1015.0,95.0,1.77,100.0,heavy intensity rain
17,0.631,0.0,0.0,2023-01-01 17:00:00,17.0,11.83,11.55,1015.0,95.0,1.67,100.0,moderate rain
18,0.595,0.0,0.0,2023-01-01 18:00:00,18.0,11.32,10.99,1016.0,95.0,2.22,100.0,moderate rain
19,2.089,0.0,0.0,2023-01-01 19:00:00,19.0,10.73,10.34,1017.0,95.0,2.71,100.0,moderate rain
20,1.635,0.0,0.0,2023-01-01 20:00:00,20.0,10.7,10.31,1018.0,95.0,2.35,100.0,light rain
21,0.637,0.0,0.0,2023-01-01 21:00:00,21.0,10.72,10.33,1020.0,95.0,2.7,90.0,light rain
22,0.0,0.577,0.0,2023-01-01 22:00:00,22.0,10.23,9.82,1021.0,96.0,1.84,72.0,light rain
23,0.0,0.566,0.0,2023-01-01 23:00:00,23.0,10.2,9.78,1022.0,96.0,1.72,47.0,light rain
24,0.0,0.639,0.0,2023-01-02 00:00:00,24.0,10.02,9.58,1022.0,96.0,1.5,37.0,light rain
25,0.0,0.51,0.0,2023-01-02 01:00:00,25.0,9.51,9.51,1022.0,96.0,0.34,34.0,light rain
26,0.0,0.375,0.0,2023-01-02 02:00:00,26.0,9.01,9.01,1023.0,96.0,0.85,46.0,light rain
27,0.0,0.345,0.0,2023-01-02 03:00:00,27.0,8.92,8.92,1023.0,96.0,0.93,44.0,light rain
28,0.0,0.241,0.0,2023-01-02 04:00:00,28.0,8.92,8.92,1024.0,96.0,1.15,44.0,light rain
29,0.0,0.237,0.0,2023-01-02 05:00:00,29.0,7.91,7.91,1025.0,95.0,0.94,57.0,light rain
30,0.0,0.252,0.0,2023-01-02 06:00:00,30.0,7.92,7.92,1025.0,96.0,1.21,55.0,light rain
31,0.0,0.974,0.0,2023-01-02 07:00:00,31.0,8.0,6.96,1026.0,96.0,1.89,100.0,overcast clouds
32,0.476,0.0,0.01,2023-01-02 08:00:00,32.0,7.4,5.89,1026.0,95.0,2.31,100.0,overcast clouds
33,0.15,0.0,0.083,2023-01-02 09:00:00,33.0,8.5,7.08,1027.0,96.0,2.45,100.0,overcast clouds
34,0.08,0.0,0.158,2023-01-02 10:00:00,34.0,9.56,8.51,1027.0,96.0,2.21,100.0,overcast clouds
35,0.0,0.0,0.251,2023-01-02 11:00:00,35.0,10.71,10.26,1028.0,93.0,1.55,96.0,overcast clouds
36,0.0,0.0,0.248,2023-01-02 12:00:00,36.0,10.87,10.36,1028.0,90.0,1.25,39.0,scattered clouds
37,0.166,0.0,0.078,2023-01-02 13:00:00,37.0,12.94,12.3,1027.0,77.0,1.12,21.0,few clouds
38,0.01,0.0,0.22,2023-01-02 14:00:00,38.0,13.0,12.26,1027.0,73.0,1.1,27.0,scattered clouds
39,0.023,0.0,0.272,2023-01-02 15:00:00,39.0,12.57,11.76,1028.0,72.0,1.15,26.0,scattered clouds
40,0.251,0.0,0.053,2023-01-02 16:00:00,40.0,12.0,11.16,1028.0,73.0,1.1,26.0,scattered clouds
41,0.425,0.0,0.0,2023-01-02 17:00:00,41.0,11.33,10.53,1028.0,77.0,1.33,27.0,scattered clouds
42,0.97,0.0,0.0,2023-01-02 18:00:00,42.0,10.12,9.33,1029.0,82.0,0.83,20.0,few clouds
43,0.683,0.0,0.0,2023-01-02 19:00:00,43.0,9.52,9.52,1029.0,85.0,0.5,20.0,few clouds
44,0.73,0.0,0.0,2023-01-02 20:00:00,44.0,8.93,8.93,1029.0,87.0,0.61,20.0,few clouds
45,0.847,0.0,0.0,2023-01-02 21:00:00,45.0,9.29,9.29,1030.0,87.0,0.98,10.0,sky is clear
46,0.0,0.681,0.0,2023-01-02 22:00:00,46.0,8.86,8.53,1030.0,89.0,1.34,5.0,sky is clear
47,0.0,0.56,0.0,2023-01-02 23:00:00,47.0,8.36,7.76,1030.0,89.0,1.52,9.0,sky is clear
48,0.0,0.521,0.0,2023-01-03 00:00:00,48.0,8.82,8.39,1031.0,87.0,1.42,43.0,scattered clouds
49,0.0,0.338,0.0,2023-01-03 01:00:00,49.0,7.87,6.55,1031.0,89.0,2.19,63.0,broken clouds
50,0.0,0.271,0.0,2023-01-03 02:00:00,50.0,7.77,5.87,1031.0,90.0,2.95,99.0,overcast clouds
51,0.0,0.259,0.0,2023-01-03 03:00:00,51.0,7.36,5.4,1031.0,91.0,2.91,100.0,overcast clouds
52,0.0,0.247,0.0,2023-01-03 04:00:00,52.0,6.82,4.76,1031.0,92.0,2.9,98.0,overcast clouds
53,0.0,0.263,0.0,2023-01-03 05:00:00,53.0,7.33,5.4,1031.0,92.0,2.86,85.0,overcast clouds
54,0.0,0.274,0.0,2023-01-03 06:00:00,54.0,7.88,6.1,1031.0,89.0,2.8,100.0,overcast clouds
55,0.0,0.813,0.0,2023-01-03 07:00:00,55.0,7.88,6.1,1032.0,88.0,2.8,100.0,overcast clouds
56,0.301,0.0,0.081,2023-01-03 08:00:00,56.0,7.86,6.05,1032.0,86.0,2.83,100.0,overcast clouds
57,0.0,0.0,0.325,2023-01-03 09:00:00,57.0,8.42,6.78,1033.0,86.0,2.74,100.0,overcast clouds
58,0.0,0.0,0.271,2023-01-03 10:00:00,58.0,10.51,9.68,1034.0,79.0,2.61,38.0,scattered clouds
59,0.0,0.0,0.261,2023-01-03 11:00:00,59.0,11.24,10.4,1034.0,76.0,2.01,10.0,sky is clear
60,0.368,0.0,0.614,2023-01-03 12:00:00,60.0,12.78,11.89,1034.0,68.0,1.58,34.0,scattered clouds
61,0.06,0.0,0.495,2023-01-03 13:00:00,61.0,12.83,12.0,1033.0,70.0,1.28,66.0,broken clouds
62,0.0,0.0,0.255,2023-01-03 14:00:00,62.0,13.0,12.05,1033.0,65.0,1.19,99.0,overcast clouds
63,0.023,0.0,0.221,2023-01-03 15:00:00,63.0,13.0,12.13,1032.0,68.0,1.23,100.0,overcast clouds
64,0.175,0.0,0.065,2023-01-03 16:00:00,64.0,12.46,11.62,1032.0,71.0,0.9,97.0,overcast clouds
65,0.23,0.0,0.0,2023-01-03 17:00:00,65.0,11.9,11.03,1033.0,72.0,0.97,94.0,overcast clouds
66,0.858,0.0,0.0,2023-01-03 18:00:00,66.0,11.19,10.45,1033.0,80.0,0.51,81.0,broken clouds
67,0.843,0.0,0.0,2023-01-03 19:00:00,67.0,10.11,9.32,1034.0,82.0,0.57,47.0,scattered clouds
68,0.463,0.0,0.0,2023-01-03 20:00:00,68.0,9.43,9.43,1034.0,84.0,1.3,35.0,scattered clouds
69,0.854,0.0,0.0,2023-01-03 21:00:00,69.0,9.9,9.23,1034.0,84.0,1.82,19.0,few clouds
70,0.0,1.514,0.0,2023-01-03 22:00:00,70.0,9.39,8.9,1034.0,84.0,1.55,18.0,few clouds
71,0.0,0.609,0.0,2023-01-03 23:00:00,71.0,9.37,8.86,1035.0,79.0,1.57,10.0,sky is clear
72,0.0,0.592,0.0,2023-01-04 00:00:00,72.0,8.64,7.98,1035.0,83.0,1.61,18.0,few clouds
73,0.0,0.579,0.0,2023-01-04 01:00:00,73.0,8.79,8.01,1035.0,82.0,1.75,17.0,few clouds
74,0.0,0.531,0.0,2023-01-04 02:00:00,74.0,8.88,7.89,1034.0,77.0,2.0,39.0,scattered clouds
75,0.0,0.264,0.0,2023-01-04 03:00:00,75.0,8.35,7.14,1034.0,81.0,2.15,66.0,broken clouds
76,0.0,0.266,0.0,2023-01-04 04:00:00,76.0,8.87,7.71,1035.0,77.0,2.2,23.0,few clouds
77,0.0,0.265,0.0,2023-01-04 05:00:00,77.0,8.87,7.68,1034.0,75.0,2.24,25.0,scattered clouds
78,0.0,0.299,0.0,2023-01-04 06:00:00,78.0,8.87,7.59,1034.0,75.0,2.36,44.0,scattered clouds
79,0.0,1.245,0.0,2023-01-04 07:00:00,79.0,6.4,4.65,1035.0,97.0,2.39,56.0,broken clouds
80,0.369,0.0,0.092,2023-01-04 08:00:00,80.0,6.3,4.46,1035.0,97.0,2.48,70.0,broken clouds
81,0.0,0.0,0.367,2023-01-04 09:00:00,81.0,9.95,8.61,1035.0,69.0,2.74,53.0,broken clouds
82,0.0,0.0,0.367,2023-01-04 10:00:00,82.0,11.66,10.58,1036.0,65.0,2.78,18.0,few clouds
83,0.0,0.0,0.361,2023-01-04 11:00:00,83.0,13.34,12.3,1036.0,60.0,2.24,5.0,sky is clear
84,0.0,0.0,0.281,2023-01-04 12:00:00,84.0,13.97,13.15,1036.0,66.0,1.73,4.0,sky is clear
