,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Data & Hora
0,0.0,0.467,0.0,2023-01-01 00:00:00
1,0.0,0.577,0.0,2023-01-01 01:00:00
2,0.0,0.346,0.0,2023-01-01 02:00:00
3,0.0,0.27,0.0,2023-01-01 03:00:00
4,0.0,0.252,0.0,2023-01-01 04:00:00
5,0.0,0.255,0.0,2023-01-01 05:00:00
6,0.0,0.256,0.0,2023-01-01 06:00:00
7,0.0,0.263,0.0,2023-01-01 07:00:00
8,0.275,0.0,0.002,2023-01-01 08:00:00
9,0.331,0.0,0.0,2023-01-01 09:00:00
10,0.271,0.0,0.0,2023-01-01 10:00:00
11,0.25,0.0,0.022,2023-01-01 11:00:00
12,0.778,0.0,0.056,2023-01-01 12:00:00
13,0.496,0.0,0.007,2023-01-01 13:00:00
14,0.338,0.0,0.016,2023-01-01 14:00:00
15,0.362,0.0,0.001,2023-01-01 15:00:00
16,1.326,0.0,0.0,2023-01-01 16:00:00
17,0.631,0.0,0.0,2023-01-01 17:00:00
18,0.595,0.0,0.0,2023-01-01 18:00:00
19,2.089,0.0,0.0,2023-01-01 19:00:00
20,1.635,0.0,0.0,2023-01-01 20:00:00
21,0.637,0.0,0.0,2023-01-01 21:00:00
22,0.0,0.577,0.0,2023-01-01 22:00:00
23,0.0,0.566,0.0,2023-01-01 23:00:00
24,0.0,0.639,0.0,2023-01-02 00:00:00
25,0.0,0.51,0.0,2023-01-02 01:00:00
26,0.0,0.375,0.0,2023-01-02 02:00:00
27,0.0,0.345,0.0,2023-01-02 03:00:00
28,0.0,0.241,0.0,2023-01-02 04:00:00
29,0.0,0.237,0.0,2023-01-02 05:00:00
30,0.0,0.252,0.0,2023-01-02 06:00:00
31,0.0,0.974,0.0,2023-01-02 07:00:00
32,0.476,0.0,0.01,2023-01-02 08:00:00
33,0.15,0.0,0.083,2023-01-02 09:00:00
34,0.08,0.0,0.158,2023-01-02 10:00:00
35,0.0,0.0,0.251,2023-01-02 11:00:00
36,0.0,0.0,0.248,2023-01-02 12:00:00
37,0.166,0.0,0.078,2023-01-02 13:00:00
38,0.01,0.0,0.22,2023-01-02 14:00:00
39,0.023,0.0,0.272,2023-01-02 15:00:00
40,0.251,0.0,0.053,2023-01-02 16:00:00
41,0.425,0.0,0.0,2023-01-02 17:00:00
42,0.97,0.0,0.0,2023-01-02 18:00:00
43,0.683,0.0,0.0,2023-01-02 19:00:00
44,0.73,0.0,0.0,2023-01-02 20:00:00
45,0.847,0.0,0.0,2023-01-02 21:00:00
46,0.0,0.681,0.0,2023-01-02 22:00:00
47,0.0,0.56,0.0,2023-01-02 23:00:00
48,0.0,0.521,0.0,2023-01-03 00:00:00
49,0.0,0.338,0.0,2023-01-03 01:00:00
50,0.0,0.271,0.0,2023-01-03 02:00:00
51,0.0,0.259,0.0,2023-01-03 03:00:00
52,0.0,0.247,0.0,2023-01-03 04:00:00
53,0.0,0.263,0.0,2023-01-03 05:00:00
54,0.0,0.274,0.0,2023-01-03 06:00:00
55,0.0,0.813,0.0,2023-01-03 07:00:00
56,0.301,0.0,0.081,2023-01-03 08:00:00
57,0.0,0.0,0.325,2023-01-03 09:00:00
58,0.0,0.0,0.271,2023-01-03 10:00:00
59,0.0,0.0,0.261,2023-01-03 11:00:00
60,0.368,0.0,0.614,2023-01-03 12:00:00
61,0.06,0.0,0.495,2023-01-03 13:00:00
62,0.0,0.0,0.255,2023-01-03 14:00:00
63,0.023,0.0,0.221,2023-01-03 15:00:00
64,0.175,0.0,0.065,2023-01-03 16:00:00
65,0.23,0.0,0.0,2023-01-03 17:00:00
66,0.858,0.0,0.0,2023-01-03 18:00:00
67,0.843,0.0,0.0,2023-01-03 19:00:00
68,0.463,0.0,0.0,2023-01-03 20:00:00
69,0.854,0.0,0.0,2023-01-03 21:00:00
70,0.0,1.514,0.0,2023-01-03 22:00:00
71,0.0,0.609,0.0,2023-01-03 23:00:00
